time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-12T19:01:53.600Z,-30.6525,-71.6078,32.3,4.1,mwr,,113,0.031,1.27,us,us10004dt3,2016-03-30T02:27:57.040Z,"39 km W of Ovalle, Chile",earthquake,3.8,4.9,0.068,21,reviewed,us,us
2016-01-11T21:16:34.270Z,-31.2248,-71.7032,29.4,4.1,mb,,156,0.552,0.54,us,us10004dln,2016-03-30T02:27:55.040Z,"68 km NW of Illapel, Chile",earthquake,6.4,6.9,0.235,5,reviewed,us,us
2016-01-10T23:01:50.840Z,-30.5973,-71.596,33.67,3.9,mwr,,167,0.083,0.86,us,us10004ddu,2016-03-30T02:27:53.040Z,"38 km W of Ovalle, Chile",earthquake,4.6,5.7,0.068,21,reviewed,us,us
2016-01-10T13:33:35.760Z,-31.3272,-71.7545,26.22,5,mwr,,58,0.659,0.89,us,us10004db0,2022-08-02T04:22:02.331Z,"65 km WNW of Illapel, Chile",earthquake,4.8,3.3,,,reviewed,us,guc
2016-01-08T03:00:54.330Z,-30.5538,-71.6456,27.1,4.2,mb,,159,0.724,1.09,us,us10004efw,2016-03-30T02:27:48.040Z,"43 km W of Ovalle, Chile",earthquake,7.1,6.5,0.304,3,reviewed,us,us
2016-01-08T01:39:13.600Z,-30.6031,-71.8121,10.31,4.3,mb,,191,0.168,1.11,us,us10004egl,2016-03-30T02:27:48.040Z,"58 km W of Ovalle, Chile",earthquake,6.2,1.6,0.53,1,reviewed,us,us
2016-01-08T01:12:01.020Z,-30.664,-71.6383,24.03,5.7,mww,,76,0.01,0.79,us,us10004c96,2022-08-07T08:43:03.025Z,"42 km W of Ovalle, Chile",earthquake,4.6,3,,,reviewed,us,us
2016-01-07T02:09:43.600Z,-30.6311,-71.6563,30.28,4.5,mb,,140,0.046,0.4,us,us10004byi,2016-03-28T22:09:42.040Z,"43 km W of Ovalle, Chile",earthquake,4.4,5.2,0.157,12,reviewed,us,us
2016-01-04T15:16:11.150Z,-30.8671,-71.8947,28.5,4.3,mb,,189,0.295,0.76,us,us10004b7x,2016-03-28T22:09:37.040Z,"72 km WSW of Ovalle, Chile",earthquake,6.7,3.6,0.377,2,reviewed,us,us
2016-01-02T14:15:44.700Z,-30.4197,-72.2837,10,4.5,mb,,193,0.614,0.93,us,us10004avp,2016-03-28T22:09:33.040Z,"104 km WSW of Coquimbo, Chile",earthquake,4.3,1.8,0.27,4,reviewed,us,us
2016-01-01T06:03:32.400Z,-31.5182,-71.5358,30.65,4.4,mb,,169,0.846,0.96,us,us10004api,2016-03-28T22:09:31.040Z,"37 km WNW of Illapel, Chile",earthquake,2.6,6.7,0.179,9,reviewed,us,us
2016-01-01T05:46:17.430Z,-30.9008,-71.7693,7.13,4.4,mb,,191,0.254,0.76,us,us10004aph,2016-03-28T22:09:31.040Z,"63 km WSW of Ovalle, Chile",earthquake,6.3,3.8,0.38,2,reviewed,us,us
2015-12-30T21:29:23.040Z,-30.6777,-71.7346,25.62,4.5,mb,,180,0.085,0.94,us,us10004ahx,2016-03-18T01:13:08.040Z,"52 km W of Ovalle, Chile",earthquake,3.9,5.4,0.192,8,reviewed,us,us
2015-12-27T23:47:10.410Z,-31.7689,-71.7135,37.7,4.4,mwr,,180,1.093,0.76,us,us10004a0b,2016-03-18T01:13:04.040Z,"53 km WSW of Illapel, Chile",earthquake,5.4,6.6,0.05,39,reviewed,us,us
2015-12-27T16:13:51.380Z,-30.6909,-71.3253,48.92,4,mb,,92,0.267,1.33,us,us10004bij,2016-03-18T01:13:03.040Z,"15 km SW of Ovalle, Chile",earthquake,4.7,8.1,0.3,3,reviewed,us,us
2015-12-27T10:57:28.930Z,-31.6748,-72.0488,35,4.1,mwr,,194,1.059,0.66,us,us100049vn,2016-03-18T01:13:03.040Z,"83 km W of Illapel, Chile",earthquake,9.2,2,0.046,46,reviewed,us,us
2015-12-26T23:50:30.210Z,-31.759,-72.0813,10,4.1,mb,,193,1.147,0.62,us,us100049rw,2016-03-18T01:13:02.040Z,"87 km W of Illapel, Chile",earthquake,4.2,1.9,0.198,7,reviewed,us,us
2015-12-26T20:43:07.100Z,-31.6969,-72.1583,10,3.8,mwr,,194,1.114,0.79,us,us100049qx,2016-03-18T01:13:02.040Z,"94 km W of Illapel, Chile",earthquake,5.7,1.9,0.061,26,reviewed,us,us
2015-12-26T18:53:22.570Z,-31.7507,-72.1352,9.97,4.2,mwr,,144,1.155,1.22,us,us100049qk,2016-03-18T01:13:02.040Z,"92 km W of Illapel, Chile",earthquake,5.6,4.6,0.05,39,reviewed,us,us
